crime,age,collective,unemployment,white
3.833112192,-0.272016877,-0.627466257,1.56198403,0.232993853
2.379064235,0.199719234,-0.763717552,0.608063851,-0.303574488
0.485044462,0.907323401,1.124148541,0.678724605,1.058483609
2.56171402,-0.272016877,-0.157350703,0.820046113,0.300064896
4.396278499,-0.507884932,-0.04297071,1.491323276,0.083373835
3.173523745,-0.743752988,-1.758020901,2.02127893,0.346498694
3.873966942,-0.272016877,-0.838478287,1.314671391,0.470322158
4.860123281,-0.507884932,-0.902143657,1.314671391,0.036940036
2.764976959,-0.507884932,-0.775249429,0.996697998,0.449684914
4.040077569,0.43558729,-0.973237922,0.431411966,0.305224207
1.806866091,-0.507884932,0.995599885,-0.027882935,-0.855620762
2.609108159,-0.507884932,-0.767116124,0.890706867,0.434206981
1.908194636,-0.272016877,-1.545128864,1.279341014,0.516755957
3.277828766,-0.743752988,0.201219797,2.303921946,0.145285567
6.011767716,-1.451357155,-0.279759581,1.56198403,-1.593402231
2.557842111,-0.979621044,-0.770522095,0.572733474,-1.505693945
3.579418345,-0.743752988,-0.820141718,1.56198403,0.186560054
5.037783375,-0.507884932,-0.374771324,1.032028375,0.176241432
3.418803419,-0.743752988,-0.24864783,1.385332145,-0.726637988
4.401962017,-0.507884932,-0.517617145,0.784715736,-0.15395447
3.606446523,-1.687225211,-1.308387803,2.869207978,-1.149701488
4.136663092,-1.451357155,-0.209105041,2.02127893,-0.78854972
1.67141874,1.614927568,1.910772275,-1.017133491,1.182307072
3.510091513,1.143191457,0.684656435,-0.55783859,0.939819456
2.056311294,1.379059513,2.004652232,-0.769820852,0.934660145
2.190237797,0.671455346,-0.01944625,0.396081589,0.475481469
1.454663003,0.907323401,1.097343942,-0.840481606,0.743765639
2.110694184,0.671455346,1.628214091,-0.133874066,0.74892495
1.315356791,2.08666368,0.759460944,-0.805151229,0.74892495
2.332921641,1.143191457,0.811182606,-1.052463868,0.573508377
2.162024673,1.614927568,0.769919606,-0.981803114,0.372295249
1.406469761,0.671455346,1.226187735,0.290090458,0.439366292
